"idPlayer","namePlayer","yearSeason","ppg_20_ind","rpg_10_ind","apg_8_ind","all_NBA1_ind","all_NBA2_ind","all_NBA3_ind","ppg_top5_ind","ppg_leader_ind","rpg_top5_ind","rpg_leader_ind","apg_top5_ind","apg_leader_ind","start_41_games_ind","start_62_games_ind","all_star_ind","win_award_mvp","win_award_roy","win_award_dpoy","win_award_smoy","win_award_mip","received_votes_mvp","received_votes_roy","received_votes_dpoy","received_votes_smoy","received_votes_mip","start_season","partition_col","numberOverallPick","age","years_since_draft"
1425,"Aaron Williams",1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993-10-01,"training",999,21.9986310746064,9999
1425,"Aaron Williams",1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-10-01,"training",999,22.9979466119097,9999
1425,"Aaron Williams",1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996-10-01,"training",999,24.9993155373032,9999
1425,"Aaron Williams",1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-10-01,"training",999,25.9986310746064,9999
1425,"Aaron Williams",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998-10-01,"training",999,26.9979466119097,9999
1425,"Aaron Williams",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-10-01,"validation",999,27.9972621492129,9999
1425,"Aaron Williams",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-10-01,"training",999,28.9993155373032,9999
1425,"Aaron Williams",2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-10-01,"training",999,29.9986310746064,9999
1425,"Aaron Williams",2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002-10-01,"training",999,30.9979466119097,9999
1425,"Aaron Williams",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-10-01,"validation",999,31.9972621492129,9999
1425,"Aaron Williams",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-10-01,"training",999,32.9993155373032,9999
1425,"Aaron Williams",2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-10-01,"training",999,33.9986310746064,9999
